,BHK,Bathrooms,Balconies,Price,Developer,Project,Carpet Area,Locality,City,EMI
83,3,2,1,₹1.25 Cr,Urbanrise,Urbanrise On Cloud 33,900,Bachupally,Hyderabad,43k
84,3,2,2,₹1.05 Cr,Urbanrise,Urbanrise On Cloud 33,1353,Bachupally,Hyderabad,36k
85,2,2,1,₹1.02 Cr,Urbanrise,Urbanrise On Cloud 33,750,Bachupally,Hyderabad,35k
86,3,3,1,₹1.45 Cr,Urbanrise,Urbanrise On Cloud 33,1617,Bachupally,Hyderabad,50k
87,3,3,1,₹3.74 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,3390,Kokapet,Hyderabad,1.30L
88,3,3,2,Call for Price,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,2655,Kokapet,Hyderabad,91k
89,4,4,1,₹4.76 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,4330,Kokapet,Hyderabad,1.65L
90,4,4,1,₹4.78 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,4330,Kokapet,Hyderabad,1.66L
91,4,4,3,Call for Price,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,4330,Kokapet,Hyderabad,1.48L
92,3,3,1,₹3.72 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,3390,Kokapet,Hyderabad,1.29L
93,4,4,3,Call for Price,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,3895,Kokapet,Hyderabad,1.33L
94,3,3,1,₹3.73 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,3390,Kokapet,Hyderabad,1.29L
95,3,3,2,Call for Price,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,2655,Kokapet,Hyderabad,98k
96,4,4,1,₹4.28 Cr,GHR LAKSHMI URBANBLOCKS INFRA LLP,THE CASCADES NEOPOLIS,3895,Kokapet,Hyderabad,1.48L
97,2,2,1,₹88.0 Lac,Pranava Group,Pranava East Crest,1355,Hastinapuram,Hyderabad,30k
98,3,3,2,₹1.18 Cr,Pranava Group,Pranava East Crest,1825,Hastinapuram,Hyderabad,41k
99,3,3,2,₹1.14 Cr,Pranava Group,Pranava East Crest,1755,Hastinapuram,Hyderabad,39k
100,3,3,2,₹9.10 Cr,Kalpataru Limited,Kalpataru Amare,1400,Juhu,Mumbai,3.15L
101,5,3,2,₹24.05 Cr,Kalpataru Limited,Kalpataru Amare,3700,Juhu,Mumbai,8.33L
102,5,3,2,₹24.05 Cr,Kalpataru Limited,Kalpataru Amare,3700,Juhu,Mumbai,8.33L
103,3,3,1,₹9.81 Cr,Kalpataru Limited,Kalpataru Amare,1531,Juhu,Mumbai,3.40L
104,5,3,2,₹23.72 Cr,Kalpataru Limited,Kalpataru Amare,3650,Juhu,Mumbai,8.21L
105,4,4,1,₹12.15 Cr,Kalpataru Limited,Kalpataru Amare,1845,Juhu,Mumbai,4.21L
106,4,4,1,₹11.58 Cr,Kalpataru Limited,Kalpataru Amare,1899,Juhu,Mumbai,4.01L
107,3,3,1,₹8.57 Cr,Kalpataru Limited,Kalpataru Amare,1406,Juhu,Mumbai,2.97L
108,4,4,1,₹12.10 Cr,Kalpataru Limited,Kalpataru Amare,1845,Juhu,Mumbai,4.19L
109,5,3,2,₹18.20 Cr,Kalpataru Limited,Kalpataru Amare,2800,Juhu,Mumbai,6.30L
110,3,3,1,₹3.95 Cr,Chandak Group,Chandak Greenairy,1152,Magathane,Mumbai,1.37L
111,3,3,1,₹4.12 Cr,Chandak Group,Chandak Greenairy,1146,Siddharth Nagar Borivali East,Mumbai,1.43L
112,3,3,1,₹4.12 Cr,Chandak Group,Chandak Greenairy,1146,Siddharth Nagar Borivali East,Mumbai,1.43L
113,2,2,1,₹2.10 Cr,Chandak Group,Chandak Greenairy,700,Magathane,Mumbai,73k
114,3,3,1,₹4.08 Cr,Chandak Group,Chandak Greenairy,1152,Borivali East,Mumbai,1.41L
115,2,2,1,₹2.20 Cr,Chandak Group,Chandak Greenairy,700,Magathane,Mumbai,76k
116,3,3,3,₹4.0 Cr,Chandak Group,Chandak Greenairy,1152,Borivali East,Mumbai,1.39L
117,2,2,1,₹1.85 Cr,Chandak Group,Chandak Greenairy,618,Borivali East,Mumbai,64k
118,3,3,3,₹3.30 Cr,Chandak Group,Chandak Greenairy,1146,Borivali East,Mumbai,1.14L
119,2,2,1,₹2.35 Cr,Chandak Group,Chandak Greenairy,669,Borivali East,Mumbai,81k
120,2,2,1,₹2.66 Cr,Raymond Realty,Raymond The Address by GS Bandra,645,Bandra East,Mumbai,92k
121,2,2,1,₹2.87 Cr,Raymond Realty,Raymond The Address by GS Bandra,691,Bandra East,Mumbai,99k
122,2,2,2,Call for Price,Raymond Realty,Raymond The Address by GS Bandra,680,Bandra East,Mumbai,82k
123,3,3,1,₹4.21 Cr,Raymond Realty,Raymond The Address by GS Bandra,1145,Bandra East,Mumbai,1.46L
124,2,2,1,₹2.90 Cr,Raymond Realty,Raymond The Address by GS Bandra,700,Bandra East,Mumbai,1.01L
125,2,2,1,₹2.49 Cr,Raymond Realty,Raymond The Address by GS Bandra,645,Bandra East,Mumbai,86k
126,3,3,2,₹3.83 Cr,Raymond Realty,Raymond The Address by GS Bandra,970,Nirmal Nagar Bandra East,Mumbai,1.33L
127,2,2,,₹2.83 Cr,Raymond Realty,Raymond The Address by GS Bandra,691,Bandra East,Mumbai,98k
128,3,3,1,₹4.02 Cr,Raymond Realty,Raymond The Address by GS Bandra,970,Bandra East,Mumbai,1.39L
129,3,3,1,Call for Price,Raymond Realty,Raymond The Address by GS Bandra,1200,Bandra East,Mumbai,1.47L
130,2,2,2,₹5.39 Cr,Marathon Realty & Adani Group,Marathon Monte South,1198,Byculla,Mumbai,1.87L
131,3,3,1,₹4.49 Cr,Marathon Realty & Adani Group,Marathon Monte South,1131,Byculla,Mumbai,1.55L
132,2,2,,₹4.38 Cr,Marathon Realty & Adani Group,Marathon Monte South,932,Byculla,Mumbai,1.52L
133,3,3,1,₹6.30 Cr,Marathon Realty & Adani Group,Marathon Monte South,1303,Byculla,Mumbai,2.18L
134,2,2,1,₹3.70 Cr,Marathon Realty & Adani Group,Marathon Monte South,855,Byculla,Mumbai,1.28L
135,3,3,2,₹5.40 Cr,Marathon Realty & Adani Group,Marathon Monte South,1200,Byculla,Mumbai,1.87L
136,2,2,,₹4.50 Cr,Marathon Realty & Adani Group,Marathon Monte South,940,Byculla,Mumbai,1.56L
137,3,3,,₹5.25 Cr,Marathon Realty & Adani Group,Marathon Monte South,1200,Byculla,Mumbai,1.82L
138,3,3,2,₹8.09 Cr,Marathon Realty & Adani Group,Marathon Monte South,1700,Byculla,Mumbai,2.80L
139,2,2,,₹3.99 Cr,Marathon Realty & Adani Group,Marathon Monte South,855,Byculla,Mumbai,1.38L
140,3,3,1,₹3.73 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1007,Sai Nagar Kandivali West,Mumbai,1.29L
141,2,2,1,₹2.66 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,761,Kandivali West,Mumbai,92k
142,3,3,1,₹4.26 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1255,Kandivali West,Mumbai,1.47L
143,3,3,1,₹4.15 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1218,Kandivali West,Mumbai,1.44L
144,3,3,1,₹4.26 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1255,Kandivali West,Mumbai,1.47L
145,3,3,1,₹2.90 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1009,Sai Nagar Kandivali West,Mumbai,1.00L
146,2,2,1,₹2.49 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,761,Kandivali West,Mumbai,86k
147,3,3,1,₹4.15 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1218,Kandivali West,Mumbai,1.44L
148,3,3,1,₹4.26 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,1255,Kandivali West,Mumbai,1.47L
149,2,2,1,₹2.49 Cr,Ashwin Sheth Group and Emami Group,Ashwin Sheth Edmont Aurelia,761,Kandivali West,Mumbai,86k
150,2,2,1,₹1.98 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,701,Dahisar East,Mumbai,69k
151,2,2,1,₹1.70 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,647,Dahisar East,Mumbai,59k
152,3,4,1,₹2.89 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,1026,Dahisar East,Mumbai,1.00L
153,2,2,1,₹1.55 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,620,Dahisar East,Mumbai,54k
154,3,3,1,₹3.30 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,1140,Dahisar East,Mumbai,1.14L
155,3,4,2,₹2.89 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,1026,Dahisar East,Mumbai,1.00L
156,2,2,1,₹1.79 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,647,Dahisar East,Mumbai,62k
157,3,4,2,₹2.93 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,1045,Dahisar East,Mumbai,1.02L
158,2,2,1,₹1.65 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,695,Dahisar East,Mumbai,57k
159,2,2,1,₹1.69 Cr,N Rose Developers Pvt. Ltd.,N Rose Northern Hills,624,Dahisar East,Mumbai,59k
160,3,3,1,₹2.97 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,1100,Bhandup West,Mumbai,1.03L
161,2,2,1,₹1.66 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,602,Bhandup West,Mumbai,58k
162,1,2,1,₹99.0 Lac,WMI Real Estate Developers LLP,WMI Ashford Regal,447,Bhandup West,Mumbai,34k
163,1,1,1,₹85.0 Lac,WMI Real Estate Developers LLP,WMI Ashford Regal,400,Battipada,Mumbai,29k
164,2,2,1,₹1.80 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,650,Bhandup West,Mumbai,62k
165,2,2,1,₹1.57 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,912,Bhandup West,Mumbai,54k
166,1,2,1,₹1.11 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,447,Bhandup West,Mumbai,38k
167,3,3,1,₹2.93 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,1100,Bhandup West,Mumbai,1.01L
168,,,1,₹1.0 Cr,WMI Ashford Regal,,720,Nahur West,Mumbai,35k
169,2,2,1,₹1.39 Cr,WMI Real Estate Developers LLP,WMI Ashford Regal,650,Nahur West,Mumbai,48k
170,4,4,1,₹20.04 Cr,K Raheja Corp,Raheja Modern Vivarea,2798,Mahalakshmi,Mumbai,6.94L
171,3,5,1,₹11.30 Cr,K Raheja Corp,Raheja Modern Vivarea,1740,Mahalakshmi,Mumbai,3.92L
172,3,3,1,₹12.46 Cr,K Raheja Corp,Raheja Modern Vivarea,1740,Mahalakshmi,Mumbai,4.32L
173,4,5,4,₹22.26 Cr,K Raheja Corp,Raheja Modern Vivarea,3108,Mahalakshmi,Mumbai,7.71L
174,4,5,2,₹15.35 Cr,K Raheja Corp,Raheja Modern Vivarea,2364,Mahalakshmi,Mumbai,5.32L
175,4,4,1,₹19.89 Cr,K Raheja Corp,Raheja Modern Vivarea,2777,Mahalakshmi,Mumbai,6.89L
176,4,4,1,₹25.0 Cr,K Raheja Corp,Raheja Modern Vivarea,2259,Mahalakshmi,Mumbai,8.65L
177,4,5,2,₹15.57 Cr,K Raheja Corp,Raheja Modern Vivarea,2174,Mahalakshmi,Mumbai,5.39L
178,3,4,1,₹14.79 Cr,K Raheja Corp,Raheja Modern Vivarea,1740,Mahalakshmi,Mumbai,5.12L
179,4,4,4,₹20.04 Cr,K Raheja Corp,Raheja Modern Vivarea,2798,Mahalakshmi,Mumbai,6.94L
180,3,3,1,₹6.86 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,1171,Andheri,Mumbai,2.37L
181,3,3,2,₹6.86 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,1171,Andheri,Mumbai,2.37L
182,4,4,1,₹11.74 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2174,Andheri,Mumbai,4.06L
183,4,4,4,₹9.67 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2174,Versova,Mumbai,3.35L
184,4,4,1,₹11.74 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2174,Andheri,Mumbai,4.06L
185,4,4,3,₹11.74 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2174,Andheri,Mumbai,4.06L
186,4,4,1,₹10.84 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2174,Andheri,Mumbai,3.75L
187,3,3,1,₹6.86 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,1171,Andheri,Mumbai,2.37L
188,4,4,4,₹10.48 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,2171,Versova,Mumbai,3.63L
189,3,3,1,₹6.86 Cr,Ajmera Realty & Infra India Ltd. and Sheetal Infrastructure Pvt. Ltd.,Vann By Ajmera,1171,Andheri,Mumbai,2.37L
190,3,3,1,₹8.11 Cr,Hiranandani Group,Hiranandani Empress Hill,1439,Central Area,Mumbai,2.81L
191,3,3,,₹6.98 Cr,Hiranandani Group,Hiranandani Empress Hill,1334,Powai,Mumbai,2.42L
192,3,3,1,₹5.30 Cr,Hiranandani Group,Hiranandani Empress Hill,1100,Hiranandani Gardens,Mumbai,1.83L
193,4,4,1,₹10.99 Cr,Hiranandani Group,Hiranandani Empress Hill,1680,Hiranandani Gardens,Mumbai,3.81L
194,4,4,1,₹8.86 Cr,Hiranandani Group,Hiranandani Empress Hill,1600,Hiranandani Gardens,Mumbai,3.07L
195,3,3,1,₹5.76 Cr,Hiranandani Group,Hiranandani Empress Hill,1100,Powai,Mumbai,1.99L
196,4,4,,₹8.27 Cr,Hiranandani Group,Hiranandani Empress Hill,1579,Powai,Mumbai,2.86L
197,3,3,1,₹5.20 Cr,Hiranandani Group,Hiranandani Empress Hill,1135,Hiranandani Gardens,Mumbai,1.80L
198,3,3,2,₹5.29 Cr,Hiranandani Group,Hiranandani Empress Hill,1150,Hiranandani Gardens,Mumbai,1.83L
199,4,4,1,₹8.27 Cr,Hiranandani Group,Hiranandani Empress Hill,1579,Powai,Mumbai,2.86L
200,4,4,3,₹5.70 Cr,Embassy Group,Project by Embassy,3000,Hebbal,Bangalore,1.97L
201,3,3,2,₹4.50 Cr,Embassy Group,Project by Embassy,2500,Hebbal,Bangalore,1.56L
202,3,3,2,₹4.30 Cr,Embassy Group,Project by Embassy,2450,Hebbal,Bangalore,1.49L
203,3,3,2,₹4.25 Cr,Embassy Group,Project by Embassy,2100,Hebbal,Bangalore,1.47L
204,4,4,3,₹5.50 Cr,Embassy Group,Project by Embassy,2950,Hebbal,Bangalore,1.90L
205,3,3,2,₹3.95 Cr,Embassy Group,Project by Embassy,2050,Hebbal,Bangalore,1.37L
206,2,3,1,₹1.23 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,844,Sarjapur Road,Bangalore,43k
207,2,2,1,₹1.36 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,935,Sarjapur Road,Bangalore,47k
208,2,2,1,₹1.14 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,900,Gunjur,Bangalore,40k
209,3,2,1,₹1.54 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,1549,Sarjapur Road,Bangalore,54k
210,2,2,1,₹1.17 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,1302,Sarjapur Road,Bangalore,41k
211,2,2,1,₹1.25 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,854,Sarjapur Road,Bangalore,43k
212,2,2,1,₹1.14 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,900,Gunjur,Bangalore,40k
213,2,2,1,₹1.11 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,866,Sarjapur Road,Bangalore,39k
214,3,3,1,₹1.62 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,1546,Sarjapur Road,Bangalore,56k
215,2,2,1,₹1.24 Cr,DSR Infrastructure Pvt. Ltd.,DSR The Courtyard,1234,Sarjapur Road,Bangalore,43k
216,4,4,2,₹3.61 Cr,SOBHA Limited,Project by Sobha,2407,Hoskote,Bangalore,1.25L
217,2,2,1,₹1.80 Cr,SOBHA Limited,Project by Sobha,1213,Hoskote,Bangalore,62k
218,3,3,2,₹2.70 Cr,SOBHA Limited,Project by Sobha,1811,Hoskote,Bangalore,93k
219,2,2,2,₹1.50 Cr,SOBHA Limited,Project by Sobha,1015,Hoskote,Bangalore,52k
220,1,1,1,₹1.01 Cr,SOBHA Limited,Project by Sobha,703,Hoskote,Bangalore,35k
221,3,3,2,₹2.20 Cr,SOBHA Limited,Project by Sobha,1511,Hoskote,Bangalore,76k
222,4,4,2,₹3.15 Cr,SOBHA Limited,Project by Sobha,2102,Hoskote,Bangalore,1.09L
223,3,3,3,₹2.59 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1700,Yelahanka,Bangalore,90k
224,3,3,2,₹2.52 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1684,Yelahanka,Bangalore,87k
225,3,3,1,₹3.26 Cr,Brigade Enterprises Ltd.,Brigade Eternia,2111,Yelahanka,Bangalore,1.13L
226,3,3,3,₹2.89 Cr,Brigade Enterprises Ltd.,Brigade Eternia,2250,Yelahanka,Bangalore,1.00L
227,3,3,1,₹2.29 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1105,Yelahanka,Bangalore,79k
228,3,3,1,₹3.33 Cr,Brigade Enterprises Ltd.,Brigade Eternia,2111,Yelahanka,Bangalore,1.15L
229,3,3,1,₹2.92 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1953,Yelahanka,Bangalore,1.01L
230,3,3,3,₹2.43 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1620,Yelahanka,Bangalore,84k
231,3,3,2,₹3.48 Cr,Brigade Enterprises Ltd.,Brigade Eternia,2247,Yelahanka,Bangalore,1.20L
232,3,3,1,₹2.86 Cr,Brigade Enterprises Ltd.,Brigade Eternia,1848,Yelahanka,Bangalore,99k
233,2,2,1,₹1.70 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,850,Hebbal,Bangalore,59k
234,3,3,2,₹2.70 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1200,Hebbal,Bangalore,93k
235,2,2,2,₹2.0 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1168,Hebbal,Bangalore,69k
236,2,2,1,₹2.40 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1168,Nagavara,Bangalore,83k
237,3,3,1,₹2.40 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1655,Hebbal,Bangalore,83k
238,3,3,1,₹2.40 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1145,Hebbal,Bangalore,83k
239,2,2,10,₹1.69 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,988,Nagavara,Bangalore,59k
240,2,2,1,₹1.95 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1168,Hebbal,Bangalore,68k
241,2,2,1,₹2.0 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,1004,Hebbal,Bangalore,69k
242,2,2,1,₹1.80 Cr,Karle Infra Pvt. Ltd.,Karle Vario Homes,890,Hebbal,Bangalore,62k
243,3,2,1,₹1.37 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1350,Electronic City,Bangalore,48k
244,3,3,2,₹1.59 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1565,Electronic City,Bangalore,55k
245,2,2,1,₹1.18 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1160,Electronic City,Bangalore,41k
246,3,3,2,₹1.85 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1820,Electronic City,Bangalore,64k
247,2,2,1,₹1.18 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1160,Electronic City,Bangalore,41k
248,2,2,1,₹1.33 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,833,Electronic City,Bangalore,46k
249,3,3,2,₹1.85 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1820,Electronic City,Bangalore,64k
250,2,2,1,₹1.29 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,717,Electronic City,Bangalore,45k
251,3,3,2,₹1.85 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1820,Electronic City,Bangalore,64k
252,3,3,2,₹1.59 Cr,Mahendra Homes Pvt. Ltd.,Mahendra Arto Helix,1565,Electronic City,Bangalore,55k
253,3,2,1,₹1.69 Cr,SBR Group,SBR One Residence,834,Whitefield,Bangalore,59k
254,2,2,1,₹1.84 Cr,SBR Group,SBR One Residence,1310,Whitefield,Bangalore,64k
255,3,3,2,₹2.46 Cr,SBR Group,SBR One Residence,1752,Whitefield,Bangalore,85k
256,2,2,1,₹1.68 Cr,SBR Group,SBR One Residence,1200,Whitefield,Bangalore,58k
257,2,2,1,₹1.68 Cr,SBR Group,SBR One Residence,1200,Whitefield,Bangalore,58k
258,2,2,1,₹1.67 Cr,SBR Group,SBR One Residence,1191,Whitefield,Bangalore,58k
259,2,2,1,₹1.67 Cr,SBR Group,SBR One Residence,1191,Whitefield,Bangalore,58k
260,3,3,2,₹2.46 Cr,SBR Group,SBR One Residence,1752,Whitefield,Bangalore,85k
261,3,3,2,₹2.37 Cr,SBR Group,SBR One Residence,1692,Whitefield,Bangalore,82k
262,2,2,1,₹1.68 Cr,SBR Group,SBR One Residence,1200,Whitefield,Bangalore,58k
263,4,5,2,₹7.19 Cr,Sobha Limited,Sobha Infinia Phase 2,2350,HSR Layout,Bangalore,2.49L
264,3,4,2,₹5.40 Cr,Sobha Limited,Sobha Infinia Phase 2,1575,HSR Layout,Bangalore,1.87L
265,4,5,2,₹5.13 Cr,Sobha Limited,Sobha Infinia Phase 2,1675,HSR Layout,Bangalore,1.78L
266,3,3,1,₹3.89 Cr,Sobha Limited,Sobha Infinia Phase 2,1273,HSR Layout,Bangalore,1.35L
267,4,5,2,₹8.10 Cr,Sobha Limited,Sobha Infinia Phase 2,2350,HSR Layout,Bangalore,2.80L
268,,,,₹6.52 Cr,Sobha Limited,Sobha Infinia Phase 2,2350,HSR Layout,Bangalore,2.26L
269,3,3,3,₹3.89 Cr,Sobha Limited,Sobha Infinia Phase 2,1273,HSR Layout,Bangalore,1.35L
270,4,4,2,₹5.53 Cr,Sobha Limited,Sobha Infinia Phase 2,2782,Agara Village,Bangalore,1.92L
271,4,4,4,₹5.13 Cr,Sobha Limited,Sobha Infinia Phase 2,1675,HSR Layout,Bangalore,1.78L
272,4,4,4,₹7.19 Cr,Sobha Limited,Sobha Infinia Phase 2,2350,HSR Layout,Bangalore,2.49L
273,3,3,3,₹8.25 Cr,H M Constructions,HM Grandeur,3372,Frazer Town,Bangalore,2.86L
274,3,4,3,₹8.0 Cr,H M Constructions,HM Grandeur,2500,Frazer Town,Bangalore,2.77L
275,3,3,3,₹7.57 Cr,H M Constructions,HM Grandeur,3096,Frazer Town,Bangalore,2.62L
276,3,3,3,₹5.50 Cr,H M Constructions,HM Grandeur,3096,Cleveland Town,Bangalore,1.90L
277,3,3,3,₹8.31 Cr,H M Constructions,HM Grandeur,3096,Frazer Town,Bangalore,2.88L
278,3,3,2,₹3.16 Cr,Godrej Properties,Godrej Woods,1194,Thanisandra Main Road,Bangalore,1.10L
279,2,2,1,₹1.61 Cr,Godrej Properties,Godrej Woods,1193,Thanisandra Main Road,Bangalore,56k
280,2,2,1,₹1.72 Cr,Godrej Properties,Godrej Woods,719,Thanisandra Main Road,Bangalore,60k
281,3,3,2,₹3.16 Cr,Godrej Properties,Godrej Woods,1194,Thanisandra Main Road,Bangalore,1.10L
282,3,3,2,₹2.72 Cr,Godrej Properties,Godrej Woods,1026,Thanisandra Main Road,Bangalore,94k
283,2,2,1,₹1.72 Cr,Godrej Properties,Godrej Woods,719,Thanisandra Main Road,Bangalore,60k
284,3,3,1,₹2.42 Cr,Godrej Properties,Godrej Woods,1888,Thanisandra Main Road,Bangalore,84k
285,3,3,2,₹3.16 Cr,Godrej Properties,Godrej Woods,1194,Thanisandra Main Road,Bangalore,1.10L
286,,,,₹2.40 Cr,Godrej Properties,Godrej Woods,1416,Thanisandra,Bangalore,83k
287,2,2,1,₹1.72 Cr,Godrej Properties,Godrej Woods,719,Thanisandra Main Road,Bangalore,60k
288,2,2,1,₹99.0 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1073,Hoskote,Bangalore,34k
289,3,2,2,₹99.5 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,910,Hoskote,Bangalore,34k
290,2,2,2,₹86.1 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,652,Hoskote,Bangalore,30k
291,2,2,1,₹99.0 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1073,Hoskote,Bangalore,34k
292,3,3,3,₹1.22 Cr,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1326,Hoskote,Bangalore,42k
293,3,3,3,₹1.09 Cr,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1187,Hoskote,Bangalore,38k
294,2,2,2,₹95.9 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1036,Hoskote,Bangalore,33k
295,2,2,1,₹95.9 Lac,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1036,Hoskote,Bangalore,33k
296,3,3,1,₹1.09 Cr,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1187,Hoskote,Bangalore,38k
297,3,3,2,₹1.22 Cr,Sowparnika Projects & Infrastructure Pvt. Ltd.,Sowparnika Whispering Petals,1326,Hoskote,Bangalore,42k
298,3,3,2,₹1.39 Cr,Provident Housing Ltd.,Provident Botanico,1480,Soukya Road,Bangalore,48k
299,3,3,1,₹1.25 Cr,Provident Housing Ltd.,Provident Botanico,1334,Soukya Road,Bangalore,43k
300,4,4,1,₹1.52 Cr,Aristo Lifespaces Realty Llp,Aristo Anantam,2970,Chharodi,Ahmedabad,53k
301,3,3,1,₹99.0 Lac,Aristo Lifespaces Realty Llp,Aristo Anantam,2070,Chharodi,Ahmedabad,34k
