,BHK,Bathrooms,Balconies,Price,Developer,Project,Carpet Area,Locality,City,EMI
612,3,3,3,₹1.37 Cr,Ramprastha Group,Ramprastha Primera,890,Sector 37D,Gurgaon,47k
613,3,3,3,₹1.0 Cr,Ramprastha Group,Ramprastha Primera,1695,Garauli Khurd,Gurgaon,35k
614,3,3,3,₹1.81 Cr,Ramprastha Group,Ramprastha Primera,1800,Sector 37D,Gurgaon,63k
615,3,2,2,₹79.0 Lac,Ramprastha Group,Ramprastha Primera,650,Sector 37D,Gurgaon,27k
616,3,3,3,₹1.27 Cr,Ramprastha Group,Ramprastha Primera,890,Sector 37D,Gurgaon,44k
617,3,3,3,₹1.78 Cr,Ramprastha Group,Ramprastha Primera,1775,Sector 37D,Gurgaon,62k
618,3,3,,₹2.0 Cr,Ramprastha Group,Ramprastha Primera,1775,Sector 37D,Gurgaon,69k
619,3,3,3,₹2.81 Cr,Signature Global,Signature Global Sarvam at DXP Estate,1815,Sector 37D,Gurgaon,97k
620,3,4,2,₹3.50 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2260,Sector 37D,Gurgaon,1.21L
621,,,,₹2.0 Cr,Signature Global,Signature Global Sarvam at DXP Estate,1330,Sector 37D,Gurgaon,69k
622,4,4,4,₹3.86 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2495,Sector 37D,Gurgaon,1.34L
623,3,3,3,₹2.85 Cr,Signature Global,Signature Global Sarvam at DXP Estate,1840,Sector 37D,Gurgaon,99k
624,3,3,3,₹3.96 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2200,Sector 37D,Gurgaon,1.37L
625,3,3,3,₹3.62 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2340,Sector 37D,Gurgaon,1.26L
626,3,3,1,₹3.40 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2340,Sector 37D,Gurgaon,1.18L
627,3,3,2,₹3.62 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2340,Sector 37D,Gurgaon,1.26L
628,3,3,3,₹3.17 Cr,Signature Global,Signature Global Sarvam at DXP Estate,2050,Sector 37D,Gurgaon,1.10L
629,4,4,4,₹6.62 Cr,Smartworld Developers,Smartworld The Edition,3680,Sector 66,Gurgaon,2.29L
630,4,4,4,₹6.62 Cr,Smartworld Developers,Smartworld The Edition,3680,Sector 66,Gurgaon,2.29L
631,4,4,4,₹6.62 Cr,Smartworld Developers,Smartworld The Edition,3680,Sector 66,Gurgaon,2.29L
632,4,4,3,₹6.58 Cr,Smartworld Developers,Smartworld The Edition,3660,Sector 66,Gurgaon,2.28L
633,4,5,3,₹6.30 Cr,Smartworld Developers,Smartworld The Edition,3505,Sector 66,Gurgaon,2.18L
634,4,4,3,₹6.30 Cr,Smartworld Developers,Smartworld The Edition,3505,Sector 66,Gurgaon,2.18L
635,4,4,3,₹6.58 Cr,Smartworld Developers,Smartworld The Edition,3660,Sector 66,Gurgaon,2.28L
636,3,3,3,₹6.03 Cr,Smartworld Developers,Smartworld The Edition,2945,Sector 66,Gurgaon,2.09L
637,4,4,4,₹6.48 Cr,Smartworld Developers,Smartworld The Edition,3605,Sector 66,Gurgaon,2.25L
638,4,5,3,₹6.58 Cr,Smartworld Developers,Smartworld The Edition,3660,Sector 66,Gurgaon,2.28L
639,4,4,4,₹10.66 Cr,Elan Group,Elan The Statement,4285,Sector 49,Gurgaon,3.69L
640,4,4,5,₹18.10 Cr,Elan Group,Elan The Statement,7270,Sector 49,Gurgaon,6.27L
